// HASH_VALUE 4E6651617D57DB99
// INDEX 0
abandon_mission	[&TSK&你放弃了一个任务。]

// HASH_VALUE 2C461329A97EEF1B
// INDEX 1
abandon_team_mission_refused	[&CHK& 只有队长才能放弃队伍任务。]

// HASH_VALUE 896D6932B26019D7
// INDEX 2
answer_bye	[再见！]

// HASH_VALUE 84962EE1214C92CA
// INDEX 3
answer_group_no	[我们没兴趣。]

// HASH_VALUE 5BDBE4E479DB670C
// INDEX 4
answer_kami_no	[不，我就留在这儿。]

// HASH_VALUE 1D7D1142CE4C737C
// INDEX 5
answer_kami_temp_yes	[对，我想离开。]

// HASH_VALUE 5BDBE4E479DB670C
// INDEX 6
answer_karavan_no	[不，我就留在这儿。]

// HASH_VALUE 1D7D1142CE4C737C
// INDEX 7
answer_karavan_temp_yes	[对，我想离开。]

// HASH_VALUE 41B517D67363F464
// INDEX 8
answer_next	[再告诉我一些。]

// HASH_VALUE 447E4C8EA3FFC30B
// INDEX 9
answer_no	[我没什么兴趣。]

// HASH_VALUE 35F9E1B03FFFF21D
// INDEX 10
answer_no_discount	[我上哪儿找采集者训练师？]

// HASH_VALUE 600824BC600824BC
// INDEX 11
answer_ok	[好。]

// HASH_VALUE 983B4C61F23B8E70
// INDEX 12
answer_skip	[别烦我……]

// HASH_VALUE 719D0DD30D5A2442
// INDEX 13
answer_thanks	[多谢！]

// HASH_VALUE A82CBF94D8AC85DE
// INDEX 14
aura_effect_begin	[&SPLM&$p$ 使自己失去 $i$ 点体力。]

// HASH_VALUE DA6A248C427090EA
// INDEX 15
aura_effect_end	[&SPL&$p$ 的效果结束了。]

// HASH_VALUE C7B1A9D10F7F3343
// INDEX 16
auto_loot_level_too_low	[&ITMF&你的任务需要一件品质更高的材料。]

// HASH_VALUE C331E433FAEB116A
// INDEX 17
auto_loot_success_pl	[&ITM&你获得 $nb$ 件品质 $level$ 的 $i.p$，作为任务奖励。]

// HASH_VALUE EA7020F63717B13C
// INDEX 18
auto_loot_success_1	[&ITM&你获得一件品质 $level$ 的 $i$，作为任务奖励。]

// HASH_VALUE DBC93E79F775D774
// INDEX 19
avalae_city_welcomer_1_p_bc_answer_c_1	[$trainer_c_1$ 是我们城市的工匠训练师——我在你的地图上标出他。]

// HASH_VALUE DBC94A79F7752EB1
// INDEX 20
avalae_city_welcomer_1_p_bc_answer_f_11	[$trainer_f_1$ 是我们城市的战士训练师——我在你的地图上标出他。]

// HASH_VALUE 0AB526A89D892FE8
// INDEX 21
avalae_city_welcomer_1_p_bc_answer_h_11	[$trainer_h_1$ 是我们城市的采集者训练师——我在你的地图上标出他。]

// HASH_VALUE DBC96679F775CF82
// INDEX 22
avalae_city_welcomer_1_p_bc_answer_m_11	[$trainer_m_1$ 是我们城市的法师训练师——我在你的地图上标出他。]

// HASH_VALUE 879575324B1F9D5C
// INDEX 23
avalae_city_welcomer_1_p_t2_welcomer	[我在找城里的其他人。]

// HASH_VALUE 879575324B1F9D5C
// INDEX 24
avendale_city_welcomer_1_p_t2_welcomer	[我在找城里的其他人。]

// HASH_VALUE 8DACFB3ED5E44636
// INDEX 25
bag_full	[&CHK&你的背包已满——上面有 $qty$ 件物品。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 26
boss_mainland_craftpart1a_diag1	[你付我钱、把所有残片都给我，我就立刻开工。这活很复杂，价值 1500 万达珀。开工后概不退款。]

// HASH_VALUE 2C82716D2BE83539
// INDEX 27
boss_mainland_craftpart1a_diag2	[让我看看……不久前我见过一件相似的东西。\n
	\n
	这是一份掠夺者护甲的图纸！稀有……价值连城……\n
	\n
	它修复好了！我现在可以教你们制造这套护甲了。]

// HASH_VALUE 32EC14B31580D0B7
// INDEX 28
boss_mainland_craftpart1a_diaglevel	[你看起来经验不足，理解不了我想教你的东西。等你再积累一些护甲制造经验再来！]

// HASH_VALUE B0BC53F4FA31914C
// INDEX 29
boss_mainland_craftpart1a_mission_intro	[修复靴子图纸。]

// HASH_VALUE A774CFECDF44BD11
// INDEX 30
boss_mainland_craftpart1a_p_mis_desc	[完成支付。]

// HASH_VALUE 4B1EBA39D8CF456C
// INDEX 31
boss_mainland_craftpart1a_p_mis_title	[修复。]

// HASH_VALUE 084FE1AC3C6CC072
// INDEX 32
